amount_match,is_allowable,budget_category,amount_requested,line_description,application_id,reviewer_notes,id,created_date,updated_date,created_by_id,created_by,is_sample
"7500","true","Other","15000","EOC operational costs and program administration","6a0210609f78b27b0b54cdc9","","6a0210989f78b27b0b54cdf8","2026-05-11T17:23:36.413000","2026-05-11T17:23:36.413000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"7800","true","Training","78000","Dispatcher and first responder P25 protocol training","6a0210609f78b27b0b54cdc8","","6a0210989f78b27b0b54cdf3","2026-05-11T17:23:36.413000","2026-05-11T17:23:36.413000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"25000","true","Equipment","250000","HAZMAT detection equipment and PPE for 6 regional teams","6a0210609f78b27b0b54cdc7","","6a0210989f78b27b0b54cded","2026-05-11T17:23:36.413000","2026-05-11T17:23:36.413000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"5500","true","Planning","55000","Statewide HAZMAT exercise design, conduct, and AAR","6a0210609f78b27b0b54cdc7","","6a0210989f78b27b0b54cdef","2026-05-11T17:23:36.413000","2026-05-11T17:23:36.413000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"20000","true","Planning","40000","EOP update and hazard mitigation plan revision","6a0210609f78b27b0b54cdc9","","6a0210989f78b27b0b54cdf6","2026-05-11T17:23:36.413000","2026-05-11T17:23:36.413000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"9000","true","Training","90000","Advanced HAZMAT operations training - 6 regional sites","6a0210609f78b27b0b54cdc7","","6a0210989f78b27b0b54cdee","2026-05-11T17:23:36.413000","2026-05-11T17:23:36.413000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"14500","true","Equipment","145000","Common Operating Picture (COP) system hardware and software","6a01c94a62c4a2cbad8c59b4","","6a020f9eaa1715a0ea159d5c","2026-05-11T17:19:26.531000","2026-05-11T17:19:26.531000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"3500","true","Training","35000","EOC staff training on updated protocols and COP system","6a01c94a62c4a2cbad8c59b4","","6a020f9eaa1715a0ea159d5e","2026-05-11T17:19:26.531000","2026-05-11T17:19:26.531000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"17500","true","Planning","35000","EOP update, hazard mitigation plan revision, continuity planning","6a01c94a62c4a2cbad8c59b6","","6a020f9eaa1715a0ea159d65","2026-05-11T17:19:26.531000","2026-05-11T17:19:26.531000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"18000","true","Equipment","180000","MCI triage kits, stretchers, and medical equipment","6a01c94a62c4a2cbad8c59b3","","6a020f9eaa1715a0ea159d58","2026-05-11T17:19:26.531000","2026-05-11T17:19:26.531000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"4000","true","Training","40000","Security protocol and monitoring system training","6a01c94a62c4a2cbad8c59b5","","6a020f9eaa1715a0ea159d62","2026-05-11T17:19:26.531000","2026-05-11T17:19:26.531000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"4000","true","Planning","40000","Physical security assessments and risk analysis","6a01c94a62c4a2cbad8c59b5","","6a020f9eaa1715a0ea159d63","2026-05-11T17:19:26.531000","2026-05-11T17:19:26.531000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"3000","true","Personnel","30000","Program coordinator salary and benefits (partial)","6a01c94a62c4a2cbad8c59b3","","6a020f9eaa1715a0ea159d5b","2026-05-11T17:19:26.531000","2026-05-11T17:19:26.531000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"12000","true","Equipment","120000","Access control hardware and biometric readers","6a01c94a62c4a2cbad8c59b5","","6a020f9eaa1715a0ea159d61","2026-05-11T17:19:26.531000","2026-05-11T17:19:26.531000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"20000","true","Equipment","200000","HD surveillance camera systems for 6 CI locations","6a01c94a62c4a2cbad8c59b5","","6a020f9eaa1715a0ea159d60","2026-05-11T17:19:26.531000","2026-05-11T17:19:26.531000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"7500","true","Other","15000","Program administration and management costs","6a01c94a62c4a2cbad8c59b6","","6a020f9eaa1715a0ea159d67","2026-05-11T17:19:26.531000","2026-05-11T17:19:26.531000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2500","true","Personnel","25000","IT coordinator support (partial year)","6a01c94a62c4a2cbad8c59b4","","6a020f9eaa1715a0ea159d5f","2026-05-11T17:19:26.531000","2026-05-11T17:19:26.531000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"8000","true","Contractual","80000","Network infrastructure upgrades - contracted installation","6a01c94a62c4a2cbad8c59b4","","6a020f9eaa1715a0ea159d5d","2026-05-11T17:19:26.531000","2026-05-11T17:19:26.531000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"7500","true","Training","75000","First responder MCI training across 8 agencies","6a01c94a62c4a2cbad8c59b3","","6a020f9eaa1715a0ea159d59","2026-05-11T17:19:26.531000","2026-05-11T17:19:26.531000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"5500","true","Planning","55000","Exercise design, conduct, and AAR documentation","6a01c94a62c4a2cbad8c59b3","","6a020f9eaa1715a0ea159d5a","2026-05-11T17:19:26.531000","2026-05-11T17:19:26.531000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"47500","true","Personnel","95000","Emergency Management Director salary and benefits","6a01c94a62c4a2cbad8c59b6","","6a020f9eaa1715a0ea159d64","2026-05-11T17:19:26.531000","2026-05-11T17:19:26.531000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"12500","true","Training","25000","NIMS/ICS training courses and exercise delivery","6a01c94a62c4a2cbad8c59b6","","6a020f9eaa1715a0ea159d66","2026-05-11T17:19:26.531000","2026-05-11T17:19:26.531000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"0","true","Equipment","0","","69f2611c8299dcfe5024e09f","","69f2613ac70f248319a53052","2026-04-29T19:51:22.582000","2026-04-29T19:51:54.803000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"0","true","Other","0","","69f2611c8299dcfe5024e09f","","69f2613a9a06441b66ca69fa","2026-04-29T19:51:22.442000","2026-04-29T19:51:54.569000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"0","true","Training","0","","69f2611c8299dcfe5024e09f","","69f2613a952dbfa0e2dca25a","2026-04-29T19:51:22.315000","2026-04-29T19:51:54.402000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"0","true","Contractual","0","","69f2611c8299dcfe5024e09f","","69f2613a62b43321d1b36d92","2026-04-29T19:51:22.187000","2026-04-29T19:51:54.267000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2000","true","Training","20000","1 FSE","69f24d67f80807f88f79e30a","","69f24d8cd8da94d077926c26","2026-04-29T18:27:24.587000","2026-04-29T18:27:34.084000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"5000","true","Personnel","50000","1 FT Employee","69f24d67f80807f88f79e30a","","69f24d8cc5e5b1bb5fcfbe81","2026-04-29T18:27:24.458000","2026-04-29T18:27:33.937000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"45000","true","Equipment","450000","Test","69cd99a4b41e5356be7b5c4b","","69cd99a44809bcb1180a116b","2026-04-01T22:18:12.605000","2026-04-01T22:18:19.809000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"5000","true","Personnel","50000","Test","69cd99a4b41e5356be7b5c4b","","69cd99a45f7909e4aa658059","2026-04-01T22:18:12.454000","2026-04-01T22:18:19.943000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"45000","true","Equipment","450000","Test","69cd8225975992b7f13eb52e","","69cd82987588c11b9935572b","2026-04-01T20:39:52.124000","2026-04-01T20:41:58.610000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"5000","true","Personnel","50000","Test","69cd8225975992b7f13eb52e","","69cd8298760825d00762ff28","2026-04-01T20:39:52","2026-04-01T20:41:58.769000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"12500","true","Equipment","125000","P25 Phase II portable radios (qty 50)","69cd78a1276f3069e72bfa57","","69cd78be276f3069e72bfa68","2026-04-01T19:57:50.892000","2026-04-01T19:57:50.892000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"8500","true","Equipment","85000","P25 repeater infrastructure upgrade","69cd78a1276f3069e72bfa57","","69cd78be276f3069e72bfa69","2026-04-01T19:57:50.892000","2026-04-01T19:57:50.892000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"4500","true","Personnel","45000","Project coordinator (12 months, 0.5 FTE)","69cd78a1276f3069e72bfa57","","69cd78be276f3069e72bfa6a","2026-04-01T19:57:50.892000","2026-04-01T19:57:50.892000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2000","true","Training","20000","P25 system operator training for 30 personnel","69cd78a1276f3069e72bfa57","","69cd78be276f3069e72bfa6b","2026-04-01T19:57:50.892000","2026-04-01T19:57:50.892000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"9500","true","Personnel","95000","Exercise coordinator (12 months)","69cd78a1276f3069e72bfa58","","69cd78be276f3069e72bfa6c","2026-04-01T19:57:50.892000","2026-04-01T19:57:50.892000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"18500","true","Contractual","185000","Training facility rental and contractor support","69cd78a1276f3069e72bfa58","","69cd78be276f3069e72bfa6d","2026-04-01T19:57:50.892000","2026-04-01T19:57:50.892000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"6000","true","Training","60000","Multi-agency tabletop and functional exercises","69cd78a1276f3069e72bfa58","","69cd78be276f3069e72bfa6e","2026-04-01T19:57:50.892000","2026-04-01T19:57:50.892000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"12000","true","Planning","120000","After-action reports and improvement plans","69cd78a1276f3069e72bfa58","","69cd78be276f3069e72bfa6f","2026-04-01T19:57:50.892000","2026-04-01T19:57:50.892000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2000","true","Travel","20000","Travel for multi-jurisdictional coordination meetings","69cd78a1276f3069e72bfa58","","69cd78be276f3069e72bfa70","2026-04-01T19:57:50.892000","2026-04-01T19:57:50.892000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
