request_type,scope_of_work_current,expenditure_rate,scope_of_work_proposed,fo_approval_status,thira_spr_mission_area,discipline,fo_approved_at,pm_approved_at,modification_type,modification_justification,request_number,match_documented,program_code,period_start,amount_requested,pm_notes,amount_approved,budget_modification_notes,payment_date,fo_approved_by,fo_notes,requires_multi_step_approval,remaining_balance,modification_notes,payment_status,resource_type,submitted_by,organization_name,voucher_number,payment_reference,application_id,reviewer_notes,period_end,thira_spr_primary_capability,required_template_ids,pm_approved_by,organization_id,application_number,pm_approval_status,thira_spr_capability_action,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"Reimbursement","","38","","","","","","","","","FR-2025-NE-003","24700","UASI","2025-07-01","247000","","247000","","2025-10-28","","","","","","Paid","","tgarcia@cityofomaha.org","City of Omaha Emergency Management","","","6a0210609f78b27b0b54cdc8","Site assessment and procurement costs verified.","2025-09-30","","[]","","6a02103b9f78b27b0b54cdb8","APP-2025-NE-002","","","Approved","6a0210979f78b27b0b54cdea","2026-05-11T17:23:35.839000","2026-05-11T17:23:35.839000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Reimbursement","","27.65","","","","","","","","","FR-2025-NE-001","11200","SHSP","2025-07-01","112000","","112000","","2025-11-15","","","","293000","","Paid","","jsmith@nema.ne.gov","Nebraska Emergency Management Agency","","","6a0210609f78b27b0b54cdc7","All line items reviewed and approved.","2025-09-30","","[]","","6a02103b9f78b27b0b54cdb7","APP-2025-NE-001","","","Approved","6a0210979f78b27b0b54cde8","2026-05-11T17:23:35.839000","2026-05-11T17:23:35.839000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Reimbursement","","","","","","","","","","","FR-2026-NE-005","","EMPG","2026-07-01","63000","","","","","","","","","","","","bwilson@douglascounty.ne.gov","Douglas County Emergency Management","","","6a0210609f78b27b0b54cdc9","","2026-09-30","","[]","","6a02103b9f78b27b0b54cdb9","APP-2026-NE-003","","","Submitted","6a0210979f78b27b0b54cdec","2026-05-11T17:23:35.839000","2026-05-11T17:23:35.839000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Reimbursement","","78","","","","","","","","","FR-2025-NE-004","26000","UASI","2025-10-01","260000","","260000","","2026-01-20","","","","","","Paid","","tgarcia@cityofomaha.org","City of Omaha Emergency Management","","","6a0210609f78b27b0b54cdc8","Gateway installations and radio distribution confirmed complete.","2025-12-31","","[]","","6a02103b9f78b27b0b54cdb8","APP-2025-NE-002","","","Approved","6a0210979f78b27b0b54cdeb","2026-05-11T17:23:35.839000","2026-05-11T17:23:35.839000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Reimbursement","","","","","","","","","","","FR-2025-0047","","SHSP","2025-10-01","36000","","","","","","","","","","","","kmiller@rockfordil.gov","City of Rockford","","","6a01c94a62c4a2cbad8c59b4","","2025-12-31","","[]","","6a01c92862c4a2cbad8c59a2","APP-2025-00010","","","Submitted","6a01c97b62c4a2cbad8c59ed","2026-05-11T12:20:11.806000","2026-05-11T12:20:11.806000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Reimbursement","","","","","","","","","","","FR-2025-0039","","UASI","2025-10-01","157000","","157000","","","","","","","","PendingDisbursement","","rmartinez@aurora.gov","City of Aurora","","","6a01c94a62c4a2cbad8c59b5","","2025-12-31","","[]","","6a01c92862c4a2cbad8c59a5","APP-2025-00011","","","Approved","6a01c97b62c4a2cbad8c59ef","2026-05-11T12:20:11.806000","2026-05-11T12:20:11.806000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Reimbursement","","20.4","","","","","","","","","FR-2025-0028","5800","SHSP","2025-07-01","58000","","58000","","2025-10-30","","","","","","Paid","","kmiller@rockfordil.gov","City of Rockford","","","6a01c94a62c4a2cbad8c59b4","","2025-09-30","","[]","","6a01c92862c4a2cbad8c59a2","APP-2025-00010","","","Approved","6a01c97b62c4a2cbad8c59ec","2026-05-11T12:20:11.806000","2026-05-11T12:20:11.806000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Reimbursement","","38.75","","","","","","","","","FR-2025-0022","15500","UASI","2025-07-01","155000","","155000","","2025-10-22","","","","","","Paid","","rmartinez@aurora.gov","City of Aurora","","","6a01c94a62c4a2cbad8c59b5","","2025-09-30","","[]","","6a01c92862c4a2cbad8c59a5","APP-2025-00011","","","Approved","6a01c97b62c4a2cbad8c59ee","2026-05-11T12:20:11.806000","2026-05-11T12:20:11.806000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Reimbursement","","","","","","","","","","","FR-2025-0045","","SHSP","2025-10-01","92000","","","","","","","","","","","","jdoe@dupagecounty.gov","DuPage County Emergency Management","","","6a01c94a62c4a2cbad8c59b3","","2025-12-31","","[]","","6a01c92862c4a2cbad8c59a1","APP-2025-00009","","","UnderReview","6a01c97b62c4a2cbad8c59eb","2026-05-11T12:20:11.806000","2026-05-11T12:20:11.806000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Reimbursement","","","","","","","","","","","FR-2026-0011","","EMPG","2026-07-01","42000","","","","","","","","","","","","jdoe@dupagecounty.gov","DuPage County Emergency Management","","","6a01c94a62c4a2cbad8c59b6","","2026-09-30","","[]","","6a01c92862c4a2cbad8c59a1","APP-2026-00012","","","Submitted","6a01c97b62c4a2cbad8c59f0","2026-05-11T12:20:11.806000","2026-05-11T12:20:11.806000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Reimbursement","","27.9","","","","","","","","","FR-2025-0031","9500","SHSP","2025-07-01","95000","","95000","","2025-11-05","","","","245000","","Paid","","jdoe@dupagecounty.gov","DuPage County Emergency Management","","","6a01c94a62c4a2cbad8c59b3","All line items verified. Approved.","2025-09-30","","[]","","6a01c92862c4a2cbad8c59a1","APP-2025-00009","","","Approved","6a01c97b62c4a2cbad8c59ea","2026-05-11T12:20:11.806000","2026-05-11T12:20:11.806000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Reimbursement","","53.23","","","","","","","","","REQ-2026-00009","-2","UASI","2026-05-01","0","","","","","","","","290000","","","","martlaur85@gmail.com","Cook County Office of Emergency Management","","","69cd78a1276f3069e72bfa59","Test 

Required Documents:
• Invoices / Receipts","2026-05-08","","[]","","69cd7871276f3069e72bfa41","APP-2025-00003","","","AdditionalInfoRequested","69fe16f79594b2e434aa658f","2026-05-08T17:01:43.994000","2026-05-08T17:02:38.752000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"Reimbursement","","0","","","","","","","","","REQ-2026-00008","0","EMPG","2026-02-01","2000","","2000","","","","","","0","","","","lauren.martin29@gmail.com","McHenry County","","","69f24d67f80807f88f79e30a","","2026-03-31","","","","69cd8207ac8e695b2f134b65","APP-2026-00007","","","Approved","69f261c3376780478ec0498e","2026-04-29T19:53:39.209000","2026-04-30T19:03:41.512000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Reimbursement","","1","","","","","","","","","REQ-2026-00007","0","SHSP","2026-04-01","1400","","1400","","2026-04-30","","","","495000","","Paid","","lauren.martin29@gmail.com","Integrated Solutions Consulting","","","69cd8225975992b7f13eb52e","","2026-04-18","","","","69cd8207ac8e695b2f134b65","APP-2026-00005","","","Approved","69e788a1c9ad3a4ce08f1f53","2026-04-21T14:24:33.005000","2026-04-30T19:14:44.032000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Reimbursement","","0","","","","","","","","","REQ-2026-00006","0","SHSP","2026-03-01","5000","","5000","","","","","","500000","","","","lauren.martin29@gmail.com","Integrated Solutions Consulting","","","69cd8225975992b7f13eb52e","","2026-03-31","","","","69cd8207ac8e695b2f134b65","APP-2026-00005","","","Denied","69e685e4892e7dc63ff25047","2026-04-20T20:00:36.103000","2026-04-30T18:47:05.549000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Modification","Test 2","0","Test 2","","","","","","Scope of Work Change","Test 2","REQ-2026-00005","0","SHSP","","0","","","","","","","","500000","","","","lauren.martin29@gmail.com","Integrated Solutions Consulting","","","69cd8225975992b7f13eb52e","","","","","","69cd8207ac8e695b2f134b65","APP-2026-00005","","","AdditionalInfoRequested","69e685b1e331503c961437ca","2026-04-20T19:59:45.374000","2026-04-30T18:44:10.290000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Modification","Test 2","0","Test 2","","","","","","Scope of Work Change","Test 2","REQ-2026-00004","0","SHSP","","0","","0","","","","","","500000","","","","lauren.martin29@gmail.com","Integrated Solutions Consulting","","","69cd8225975992b7f13eb52e","","","","","","69cd8207ac8e695b2f134b65","APP-2026-00005","","","Approved","69e685aa3136428268acdd7e","2026-04-20T19:59:38.143000","2026-04-30T19:05:20.721000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Reimbursement","","25","","","","","","","","","REQ-2025-00001","15500","UASI","2025-07-01","155000","","155000","","","","","","465000","","","","brian.wilson@cookcounty.gov","Cook County Office of Emergency Management","","","69cd78a1276f3069e72bfa59","","2025-09-30","","","","69cd7871276f3069e72bfa41","APP-2025-00003","","","Approved","69cd78be276f3069e72bfa65","2026-04-01T19:57:50.879000","2026-04-01T19:57:50.879000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Reimbursement","","53.23","","","","","","","","","REQ-2025-00002","17500","UASI","2025-10-01","175000","","175000","","","","","","290000","","","","brian.wilson@cookcounty.gov","Cook County Office of Emergency Management","","","69cd78a1276f3069e72bfa59","","2025-12-31","","","","69cd7871276f3069e72bfa41","APP-2025-00003","","","Approved","69cd78be276f3069e72bfa66","2026-04-01T19:57:50.879000","2026-04-01T19:57:50.879000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Reimbursement","","82.26","","","","","","","","","REQ-2026-00001","18000","UASI","2026-01-01","180000","","","","","","","","110000","","","","brian.wilson@cookcounty.gov","Cook County Office of Emergency Management","","","69cd78a1276f3069e72bfa59","","2026-03-31","","","","69cd7871276f3069e72bfa41","APP-2025-00003","","","UnderReview","69cd78be276f3069e72bfa67","2026-04-01T19:57:50.879000","2026-04-01T19:57:50.879000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
